codigo;tipo;descricao;cidade;estado;data;ano;hora;aeronave_liberada;status_investigacao;aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_tipo;aeronave_fabricante;motor_tipo;aeronave_motor_quantidade;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_fase_operacao;aeronave_nivel_dano
67163;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SÃO PAULO;SP;20/08/2017;2017;10:49:00;SIM;FINALIZADA;1;NÃO;INDETERMINADO;INDETERMINADO;INDETERMINADO;INDETERMINADO;0;0;ESTADOS UNIDOS;CRUZEIRO;NENHUM
77200;ACIDENTE;PERDA DE CONTROLE EM VOO;DOM PEDRITO;RS;30/12/2017;2017;16:45:00;SIM;FINALIZADA;1;NÃO;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;1;1973;BRASIL;SUBIDA;SUBSTANCIAL
77202;INCIDENTE GRAVE;EXCURSÃO DE PISTA;UBATUBA;SP;29/12/2017;2017;17:30:00;SIM;FINALIZADA;1;SIM;AVIÃO;CESSNA AIRCRAFT;JATO;BIMOTOR;6;2008;BRASIL;CORRIDA APÓS POUSO;LEVE
77203;INCIDENTE;OUTROS;ARAGUAÍNA;TO;28/12/2017;2017;06:30:00;SIM;FINALIZADA;1;NÃO;AVIÃO;CESSNA AIRCRAFT;JATO;BIMOTOR;8;2003;BRASIL;DECOLAGEM;LEVE
77205;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;PORTO SEGURO;BA;27/12/2017;2017;16:20:00;SIM;FINALIZADA;1;NÃO;HELICÓPTERO;ROBINSON HELICOPTER;PISTÃO;MONOMOTOR;4;2010;BRASIL;CRUZEIRO;NENHUM
77206;INCIDENTE GRAVE;PERDA DE CONTROLE EM VOO;EDÉIA;GO;27/12/2017;2017;09:15:00;SIM;ATIVA;1;NÃO;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;1;1976;BRASIL;CRUZEIRO;LEVE
77208;INCIDENTE;ESTOURO DE PNEU;RIO DE JANEIRO;RJ;26/12/2017;2017;21:00:00;SIM;FINALIZADA;1;NÃO;AVIÃO;PIPER AIRCRAFT;PISTÃO;BIMOTOR;8;1977;BRASIL;POUSO;LEVE
77209;INCIDENTE;F.O.D.;SÃO PAULO;SP;26/12/2017;2017;14:16:00;SIM;FINALIZADA;1;NÃO;HELICÓPTERO;EUROCOPTER DEUTSCHLAND;TURBOEIXO;BIMOTOR;7;2002;BRASIL;DESCIDA;LEVE
77211;INCIDENTE;COM ROTOR;CABO FRIO;RJ;23/12/2017;2017;13:15:00;SIM;FINALIZADA;1;NÃO;HELICÓPTERO;SIKORSKY AIRCRAFT;TURBOEIXO;BIMOTOR;21;2013;BRASIL;DECOLAGEM;LEVE
77213;INCIDENTE GRAVE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CATUTI;MG;23/12/2017;2017;19:30:00;SIM;FINALIZADA;1;NÃO;HELICÓPTERO;ROBINSON HELICOPTER;TURBOEIXO;MONOMOTOR;5;2013;BRASIL;DECOLAGEM;LEVE
